学生ID,学部,テストスコア,出席日数,クラス参加度,経済的背景
0001,理,89,35,8,低
0002,文,76,41,8,高
0003,工,72,41,6,低
0004,経済,77,38,7,中
0005,理,97,36,4,低
0006,工,86,34,8,中
0007,工,66,38,6,中
0008,工,86,39,6,中
0009,理,84,37,4,高
0010,文,71,41,6,高
0011,理,72,38,7,低
0012,工,85,32,5,中
0013,理,89,33,8,高
0014,工,86,40,6,中
0015,工,83,30,6,低
0016,文,88,31,6,高
0017,経済,81,40,6,低
0018,工,80,43,6,中
0019,文,93,39,9,中
0020,文,89,39,8,中
0021,工,53,34,8,高
0022,工,62,39,7,高
0023,工,61,30,7,低
0024,工,93,40,9,低
0025,文,57,34,6,高
0026,理,67,40,6,中
0027,文,84,35,9,低
0028,工,83,43,9,高
0029,文,91,42,8,高
0030,理,74,41,7,高
0031,経済,67,33,8,中
0032,工,86,41,9,中
0033,工,78,36,8,低
0034,工,81,41,9,高
0035,文,80,42,8,中
0036,工,89,38,8,高
0037,理,95,40,9,高
0038,工,53,34,7,中
0039,工,72,41,6,高
0040,工,95,41,6,高
0041,工,87,41,8,中
0042,文,70,43,6,低
0043,工,80,38,7,高
0044,工,57,30,7,高
0045,工,60,33,7,高
0046,工,72,43,9,高
0047,経済,74,42,6,中
0048,文,87,43,6,低
0049,文,84,40,9,高
0050,工,84,33,5,低
0051,工,71,41,6,低
0052,工,70,32,5,高
0053,理,82,33,5,中
0054,文,95,39,9,高
0055,工,71,38,6,中
0056,文,80,35,7,低
0057,文,76,35,8,低
0058,工,60,34,6,低
0059,工,79,39,8,中
0060,理,100,36,8,中
0061,文,90,38,6,高
0062,文,100,39,6,中
0063,工,69,32,7,高
0064,経済,89,33,8,低
0065,工,91,43,9,中
0066,理,70,42,7,低
0067,文,85,43,9,高
0068,文,82,40,8,低
0069,工,89,33,5,中
0070,工,64,39,7,高
0071,工,78,40,8,低
0072,理,68,30,8,低
0073,文,51,32,6,低
0074,理,88,35,6,低
0075,工,82,36,6,中
0076,文,56,35,6,低
0077,文,89,30,6,中
0078,文,91,41,7,高
0079,理,94,42,9,低
0080,文,73,39,6,低
0081,文,75,38,8,中
0082,工,77,40,9,高
0083,工,87,40,7,中
0084,工,94,38,7,中
0085,工,95,40,8,低
0086,工,83,39,7,中
0087,理,85,39,6,中
0088,工,61,36,6,低
0089,工,80,43,9,中
0090,工,56,33,8,低
0091,工,67,30,8,低
0092,理,64,31,7,中
0093,工,86,35,7,高
0094,文,94,36,5,低
0095,文,86,42,6,高
0096,文,71,43,7,中
0097,理,72,39,9,低
0098,理,79,38,9,高
0099,工,88,38,8,低
0100,工,79,39,5,高
0101,工,89,41,7,低
0102,工,62,38,8,低
0103,工,83,34,5,低
0104,理,89,40,8,中
0105,工,77,36,8,低
0106,理,70,39,8,高
0107,文,95,37,8,中
0108,工,99,37,9,低
0109,理,59,33,8,中
0110,工,92,38,8,中
0111,経済,90,35,8,低
0112,理,94,37,9,低
0113,文,65,35,5,低
0114,経済,61,35,5,高
0115,文,62,35,6,低
0116,理,83,35,6,中
0117,文,77,30,5,低
0118,理,79,41,8,低
0119,文,84,35,5,低
0120,理,53,35,5,低
0121,文,93,36,9,中
0122,工,58,34,6,中
0123,文,54,33,7,低
0124,文,70,40,8,中
0125,理,68,38,4,中
0126,文,59,33,7,低
0127,文,80,31,6,高
0128,工,91,43,9,高
0129,理,70,37,4,低
0130,文,93,41,9,低
0131,文,90,40,9,低
0132,工,66,36,9,高
0133,理,75,35,5,高
0134,工,64,32,6,低
0135,理,63,35,4,中
0136,理,67,30,7,高
0137,文,98,37,10,高
0138,文,78,39,9,低
0139,理,85,39,6,中
0140,文,73,31,7,中
0141,経済,77,42,8,高
0142,理,88,39,6,低
0143,理,63,35,6,中
0144,文,61,34,5,高
0145,工,76,36,7,中
0146,理,81,38,8,中
0147,文,70,38,6,低
0148,文,86,35,5,中
0149,理,100,40,5,中
0150,工,76,38,5,中
0151,工,89,30,7,低
0152,文,88,42,8,低
0153,理,92,41,9,低
0154,理,71,32,5,低
0155,文,92,37,6,低
0156,工,64,31,5,中
0157,工,66,31,8,高
0158,文,79,38,6,中
0159,理,80,41,6,低
0160,文,81,30,6,中
0161,文,60,39,4,中
0162,工,93,38,7,高
0163,工,66,30,7,高
0164,文,75,43,7,高
0165,理,79,43,7,低
0166,工,88,39,9,中
0167,文,84,38,7,低
0168,工,74,39,6,低
0169,工,97,36,4,低
0170,工,82,40,8,中
0171,理,78,39,9,低
0172,工,94,38,8,高
0173,理,74,38,6,高
0174,工,83,32,8,中
0175,工,80,36,6,中
0176,理,92,38,6,高
0177,工,72,40,6,中
0178,文,85,37,9,高
0179,理,81,37,8,中
0180,理,90,43,6,低
0181,工,78,40,8,中
0182,理,60,38,8,高
0183,理,80,41,7,高
0184,工,94,39,7,高
0185,工,89,39,7,高
0186,理,76,40,7,低
0187,工,88,35,8,高
0188,工,66,32,7,中
0189,工,84,33,8,高
0190,理,92,39,6,中
0191,文,90,40,7,低
0192,文,72,41,9,中
0193,文,66,34,7,高
0194,工,69,34,5,高
0195,工,72,31,8,高
0196,工,80,30,7,中
0197,文,75,38,8,中
0198,文,79,41,7,高
0199,文,78,42,7,低
0200,文,84,36,4,低
0201,工,85,39,6,低
0202,工,76,41,7,低
0203,工,76,35,9,低
0204,理,51,33,8,低
0205,工,62,33,7,低
0206,工,74,41,6,低
0207,理,62,34,8,中
0208,文,71,42,9,中
0209,文,50,34,8,高
0210,工,95,40,6,高
0211,文,94,42,6,高
0212,工,56,32,7,低
0213,文,81,41,9,高
0214,工,72,42,8,高
0215,工,71,32,6,低
0216,文,81,39,9,中
0217,工,78,43,6,中
0218,工,86,42,9,中
0219,文,70,43,6,中
0220,工,60,34,5,高
0221,工,87,34,7,高
0222,工,87,43,9,高
0223,工,92,39,9,高
0224,文,70,43,7,低
0225,経済,95,40,9,低
0226,工,95,43,8,高
0227,工,64,32,5,中
0228,工,77,40,7,低
0229,工,87,43,6,中
0230,工,86,31,7,中
0231,文,86,38,6,中
0232,工,77,38,9,低
0233,工,61,33,7,中
0234,文,86,43,7,中
0235,工,72,35,5,高
0236,工,74,37,9,低
0237,文,71,43,9,中
0238,工,89,43,6,中
0239,文,94,40,6,中
0240,理,81,30,8,高
0241,工,70,38,8,中
0242,工,65,36,4,低
0243,工,83,34,5,低
0244,文,86,43,8,低
0245,工,59,31,8,中
0246,理,93,39,6,高
0247,文,99,38,7,高
0248,工,82,38,8,高
0249,文,73,38,8,低
0250,工,95,42,8,中
0251,理,91,38,6,高
0252,工,83,39,6,低
0253,工,68,35,5,高
0254,工,77,38,8,中
0255,工,60,33,7,中
0256,理,84,42,6,低
0257,文,88,41,6,中
0258,工,84,39,5,中
0259,文,50,32,8,高
0260,工,93,43,9,中
0261,工,89,30,6,低
0262,理,56,33,6,中
0263,文,88,37,7,中
0264,工,78,41,7,中
0265,文,82,33,5,低
0266,文,74,39,8,中
0267,経済,82,38,9,高
0268,工,78,38,7,高
0269,文,81,42,7,中
0270,工,70,31,7,高
0271,工,79,41,8,中
0272,工,81,35,6,高
0273,工,51,30,7,高
0274,文,77,41,7,中
0275,工,81,35,8,高
0276,理,92,35,6,低
0277,文,74,38,6,高
0278,工,87,40,8,中
0279,文,93,41,7,低
0280,理,82,43,6,高
0281,理,94,42,6,低
0282,工,73,30,6,低
0283,工,86,40,6,中
0284,工,63,32,6,低
0285,工,83,42,9,高
0286,文,58,34,5,中
0287,工,87,41,9,低
0288,文,79,42,8,中
0289,工,88,38,8,低
