学生ID,学部,テストスコア,出席日数,クラス参加度,経済的背景,退学リスク,初任給,業界
0001,理,64,37,4,高,低,2899237,IT
0002,文,55,40,5,高,中,2417247,教育
0003,経済,90,38,8,中,低,4418345,製造
0004,理,92,34,6,中,低,3162177,金融
0005,経済,82,41,8,中,低,4580635,小売
0006,工,85,34,9,高,高,3937836,IT
0007,理,98,36,4,中,低,3061622,教育
0008,文,86,37,7,低,中,2561511,金融
0009,文,84,37,8,低,中,2447817,IT
0010,理,80,36,4,低,低,3154579,金融
0011,経済,92,41,10,高,低,4592267,製造
0012,理,81,36,9,中,低,2860185,IT
0013,文,80,36,5,中,中,2545176,教育
0014,工,81,38,7,中,高,4036971,教育
0015,文,72,37,8,中,中,2424008,IT
0016,理,87,39,6,高,低,3064809,金融
0017,経済,93,40,7,高,低,4444017,IT
0018,文,75,37,5,中,中,2492052,教育
0019,文,67,37,8,高,中,2571130,製造
0020,工,76,38,8,中,高,4036264,教育
0021,工,86,36,6,低,高,4037057,IT
0022,文,70,39,5,低,中,2478698,金融
0023,工,73,37,6,高,高,3920054,教育
0024,理,72,31,6,中,低,2887911,教育
0025,経済,97,40,7,中,低,4473726,製造
0026,工,92,38,8,高,高,4062591,製造
0027,工,75,36,8,高,高,4055738,教育
0028,経済,83,42,10,中,低,4434175,製造
0029,理,75,39,9,高,低,3025408,IT
0030,経済,95,40,8,高,低,4481329,金融
0031,工,73,34,7,高,高,4041758,製造
0032,理,70,37,6,低,低,3198794,製造
0033,経済,94,40,8,中,低,4478868,金融
0034,文,71,36,5,高,中,2420243,IT
0035,理,72,40,8,中,低,3038586,金融
0036,工,86,34,7,中,高,3979579,製造
0037,理,80,36,6,中,低,2805327,IT
0038,工,80,35,8,中,高,3985671,金融
0039,工,78,34,9,高,高,3905803,教育
0040,工,70,36,7,低,高,3977015,IT
0041,工,78,34,7,高,高,3926869,製造
0042,文,68,37,6,低,中,2561478,IT
0043,文,57,39,8,中,中,2523306,製造
0044,経済,93,42,9,高,低,4522033,製造
0045,理,60,40,4,高,低,2838186,製造
0046,理,97,31,7,高,低,2855331,製造
0047,工,94,35,7,低,高,3963223,教育
0048,理,95,33,4,低,低,2902146,教育
0049,理,70,37,4,高,低,2802693,金融
0050,文,77,40,5,高,中,2565306,IT
0051,工,74,35,6,低,高,4043466,IT
0052,文,72,38,5,高,中,2500600,製造
0053,工,74,33,7,高,高,4038497,IT
0054,経済,91,42,10,高,低,4533015,IT
0055,経済,92,40,8,中,低,4527337,教育
0056,経済,96,39,8,低,低,4532699,製造
0057,工,76,36,9,中,高,4050410,教育
0058,工,75,37,7,低,高,3958613,製造
0059,経済,100,40,8,高,低,4563198,金融
0060,文,66,37,8,中,中,2542622,金融
0061,理,71,34,6,高,低,3190375,金融
0062,理,85,36,6,低,低,3185197,製造
0063,文,88,35,8,中,中,2430456,製造
0064,理,92,31,8,低,低,3070482,金融
0065,文,66,35,5,中,中,2519693,教育
0066,工,86,34,8,中,高,4016505,IT
0067,理,79,33,4,中,低,2887721,IT
0068,文,56,35,5,高,中,2530602,教育
0069,理,75,32,4,低,低,3011994,IT
0070,工,90,36,7,中,高,3945191,教育
0071,理,84,32,5,低,低,3183692,製造
0072,文,63,40,5,中,中,2528067,IT
0073,経済,99,42,7,中,低,4437169,教育
0074,理,74,34,4,中,低,2994205,IT
0075,工,91,34,8,中,高,4040614,製造
0076,経済,82,40,9,中,低,4539039,IT
0077,理,98,30,9,高,低,2887782,教育
0078,文,81,40,6,低,中,2404518,金融
0079,理,82,32,6,高,低,3165974,IT
0080,文,73,36,7,高,中,2464847,製造
0081,文,78,40,5,高,中,2484774,金融
0082,経済,94,40,9,高,低,4435429,IT
0083,経済,91,40,8,低,低,4493192,教育
0084,文,79,35,8,高,中,2500837,IT
0085,経済,95,41,10,低,低,4578242,教育
0086,工,93,36,9,中,高,3962725,教育
0087,文,70,38,6,中,中,2411251,金融
0088,文,66,39,5,中,中,2518998,金融
0089,文,83,38,5,中,中,2445162,教育
0090,理,87,34,7,高,低,3138089,金融
0091,理,95,34,5,中,低,2814333,製造
0092,経済,88,39,8,低,低,4472019,教育
0093,理,89,36,5,中,低,3014214,教育
0094,工,72,35,9,低,高,4055072,教育
0095,理,63,38,9,低,低,2966378,IT
0096,経済,85,41,7,高,低,4402930,IT
0097,文,69,36,5,高,中,2422105,金融
0098,経済,91,42,9,高,低,4427080,IT
0099,文,83,39,5,低,中,2509329,製造
0100,経済,83,42,8,低,低,4440571,IT
0101,工,79,34,8,低,高,3988174,金融
0102,経済,90,42,7,高,低,4581928,教育
0103,文,55,40,7,低,中,2576045,金融
0104,経済,94,39,10,中,低,4472261,教育
0105,経済,99,40,10,低,低,4501724,金融
0106,経済,87,40,7,中,低,4594488,製造
0107,工,72,36,9,低,高,4061156,金融
0108,経済,81,42,8,中,低,4430039,教育
0109,工,91,36,8,高,高,4042009,金融
0110,工,73,35,8,低,高,3906430,金融
0111,文,88,37,7,高,中,2504033,金融
0112,理,78,34,9,低,低,2947111,製造
0113,理,91,32,7,高,低,3154563,金融
0114,工,75,35,8,高,高,3909046,製造
0115,理,93,36,9,中,低,2800712,製造
0116,工,94,34,8,中,高,3983677,教育
0117,経済,92,42,7,低,低,4508076,IT
0118,経済,81,42,7,低,低,4569211,IT
0119,経済,90,39,10,低,低,4432438,製造
0120,工,88,36,9,低,高,3998050,IT
0121,理,90,36,7,高,低,3194815,製造
0122,経済,86,38,7,中,低,4435998,金融
0123,工,73,34,6,高,高,3916750,金融
0124,経済,98,39,7,低,低,4462891,金融
0125,文,78,38,8,中,中,2406506,製造
0126,文,60,40,6,中,中,2461494,IT
0127,文,67,37,6,高,中,2578386,金融
0128,工,70,35,9,低,高,3979872,製造
0129,文,71,37,7,高,中,2509102,金融
0130,理,81,36,7,中,低,3138803,教育
0131,理,92,38,5,中,低,3068590,教育
0132,文,55,40,5,中,中,2587277,教育
0133,工,71,33,8,中,高,3970706,製造
0134,経済,85,42,9,高,低,4435397,教育
0135,経済,88,39,8,高,低,4566847,IT
0136,文,80,35,7,高,中,2542599,IT
0137,経済,80,41,9,低,低,4507992,教育
0138,文,64,38,6,中,中,2454074,製造
0139,経済,84,38,9,高,低,4480583,金融
0140,文,90,39,5,低,中,2546963,金融
0141,工,81,36,8,中,高,4050128,教育
0142,工,80,33,6,低,高,3922262,金融
0143,理,91,34,6,中,低,2838217,教育
0144,理,63,38,8,中,低,2934984,金融
0145,工,73,35,6,低,高,4062614,教育
0146,工,77,37,9,中,高,4077018,製造
0147,文,56,35,5,低,中,2446390,製造
0148,経済,82,38,7,中,低,4484173,IT
0149,文,69,40,7,低,中,2444479,IT
0150,経済,98,40,10,高,低,4409379,製造
0151,文,74,36,6,高,中,2531440,製造
0152,経済,96,39,7,中,低,4511196,教育
0153,経済,98,40,7,高,低,4522303,金融
0154,文,87,38,8,低,中,2511978,教育
0155,文,58,37,8,高,中,2552821,金融
0156,文,52,36,6,中,中,2589044,教育
0157,理,65,36,4,低,低,3144946,金融
0158,理,87,37,6,低,低,2959614,金融
0159,経済,84,40,8,中,低,4531388,教育
0160,経済,96,39,7,低,低,4414688,教育
0161,文,83,35,6,低,中,2587906,教育
0162,経済,94,38,8,中,低,4446725,IT
0163,理,60,38,6,低,低,2919146,IT
0164,経済,97,42,7,中,低,4511190,金融
0165,工,78,38,9,高,高,4031702,金融
0166,経済,84,38,8,中,低,4442557,教育
0167,経済,81,40,9,中,低,4541762,金融
0168,経済,96,40,10,低,低,4533221,IT
0169,理,79,30,5,高,低,2833442,金融
0170,経済,85,38,7,低,低,4446853,製造
0171,文,67,38,6,高,中,2496232,金融
0172,工,88,33,7,中,高,3989073,金融
0173,文,64,37,5,低,中,2417998,金融
0174,工,91,34,7,低,高,3956800,IT
0175,理,68,35,5,高,低,2815743,金融
0176,経済,92,42,10,中,低,4597470,教育
0177,理,78,31,8,中,低,2903052,製造
0178,文,62,37,8,中,中,2552864,教育
0179,経済,80,38,9,高,低,4462937,製造
0180,文,79,35,5,低,中,2564267,IT
0181,理,73,37,4,高,低,3021945,金融
0182,経済,92,40,10,中,低,4424543,IT
